I1,I2,I3,T1,T2,T3,Avarage,Rms,Kurtosis,Skewness,Category
0.12364,0.54727,0.41727,1.00247,1.08827,0.60432,4.73026,2.77474,-2.07643,6.18131,线圈老化 50Ω
0.09818,0.53545,0.41909,0.99815,1.08333,0.60741,4.73102,2.76928,-2.07572,6.17656,线圈老化 50Ω
0.13545,0.58636,0.42,1.00123,1.09506,0.61235,4.73067,2.76908,-2.07614,6.17707,线圈老化 50Ω
0.12636,0.60545,0.41909,0.99938,1.08827,0.60185,4.72845,2.76801,-2.07747,6.18203,线圈老化 50Ω
0.10727,0.59364,0.42,1.00062,1.08827,0.60864,4.73056,2.76735,-2.07816,6.18353,线圈老化 50Ω
0.11364,0.55091,0.42091,1.00123,1.0858,0.61543,4.72973,2.76829,-2.07466,6.17069,线圈老化 50Ω
0.12,0.58545,0.42091,0.99691,1.08827,0.60185,4.7269,2.76296,-2.07579,6.17691,线圈老化 50Ω
0.09818,0.60545,0.42,0.99136,1.08827,0.60617,4.72635,2.76589,-2.07299,6.16728,线圈老化 50Ω
0.13909,0.53364,0.41909,1.00247,1.08951,0.60864,4.72757,2.76637,-2.07526,6.17173,线圈老化 50Ω
0.16545,0.60273,0.41727,0.99815,1.08827,0.60864,4.72886,2.77063,-2.07398,6.16556,线圈老化 50Ω
0.14364,0.52455,0.41909,0.99815,1.08333,0.60185,4.72824,2.7705,-2.07186,6.1585,线圈老化 50Ω
0.13273,0.63455,0.42,0.99938,1.0858,0.59938,4.72654,2.76705,-2.07372,6.1664,线圈老化 50Ω
0.11364,0.55091,0.42091,0.99568,1.08457,0.61111,4.72566,2.76518,-2.07242,6.16323,线圈老化 50Ω
0.10727,0.54364,0.42182,1.00062,1.08272,0.59753,4.72659,2.76733,-2.07498,6.17236,线圈老化 50Ω
0.11273,0.57818,0.42091,0.99938,1.08704,0.60062,4.72789,2.76668,-2.07467,6.16884,线圈老化 50Ω
0.10636,0.62818,0.42182,0.99691,1.09691,0.59938,4.72714,2.76538,-2.07672,6.17809,线圈老化 50Ω
0.15,0.61545,0.42091,0.99691,1.09136,0.59877,4.72577,2.76774,-2.07455,6.17141,线圈老化 50Ω
0.11636,0.54,0.41909,0.99444,1.07901,0.61235,4.72542,2.76679,-2.0733,6.16413,线圈老化 50Ω
0.10182,0.53909,0.42364,0.99568,1.07778,0.60556,4.72547,2.76672,-2.07346,6.16573,线圈老化 50Ω
0.11455,0.59455,0.42273,0.99444,1.08704,0.59753,4.72485,2.76644,-2.07577,6.17479,线圈老化 50Ω
0.10273,0.61,0.42,0.99815,1.08704,0.60864,4.72637,2.76733,-2.07249,6.16081,线圈老化 50Ω
0.13273,0.62818,0.42182,0.99938,1.09136,0.60556,4.7269,2.76537,-2.07339,6.16454,线圈老化 50Ω
0.10455,0.62636,0.42,0.99691,1.09012,0.60864,4.72661,2.76731,-2.07295,6.16218,线圈老化 50Ω
0.11091,0.57636,0.42364,0.99691,1.08457,0.61852,4.7268,2.76611,-2.07427,6.16645,线圈老化 50Ω
0.11455,0.59364,0.42182,0.99691,1.08704,0.59938,4.72489,2.76544,-2.07421,6.16776,线圈老化 50Ω
0.08727,0.56727,0.50818,1.32778,1.47284,1.44012,6.80961,5.39416,-2.37337,6.9839,铁芯卡涩
0.12182,0.48818,0.42091,1.30617,1.48642,1.43333,6.72386,5.36682,-2.28312,6.73109,铁芯卡涩
0.12455,0.46364,0.43182,1.30309,1.48086,1.44444,6.7114,5.34557,-2.28385,6.73345,铁芯卡涩
0.11909,0.62727,0.38545,1.29938,1.47593,1.43025,6.6946,5.30797,-2.29325,6.76289,铁芯卡涩
0.11273,0.56364,0.45636,1.2963,1.48395,1.44012,6.7148,5.31481,-2.28758,6.7627,铁芯卡涩
0.13545,0.62909,0.47091,1.30309,1.47284,1.43765,6.69219,5.30242,-2.29154,6.7581,铁芯卡涩
0.13273,0.62636,0.41273,1.30185,1.47284,1.43765,6.68263,5.28187,-2.29525,6.76834,铁芯卡涩
0.12364,0.58909,0.53727,1.29815,1.47037,1.42531,6.67992,5.27257,-2.29737,6.77701,铁芯卡涩
0.11091,0.59,0.39,1.29506,1.48086,1.42901,6.70414,5.33765,-2.28278,6.73006,铁芯卡涩
0.11455,0.60727,0.39364,1.29691,1.47284,1.42778,6.68488,5.28998,-2.29241,6.76031,铁芯卡涩
0.13545,0.55909,0.40818,1.29815,1.4784,1.4321,6.69959,5.32925,-2.2858,6.74134,铁芯卡涩
0.12,0.54273,0.46182,1.29506,1.47593,1.43086,6.68685,5.31029,-2.27949,6.72212,铁芯卡涩
0.13182,0.52636,0.42545,1.29383,1.47593,1.4358,6.68592,5.3074,-2.28054,6.7234,铁芯卡涩
0.12818,0.63636,0.39455,1.29506,1.46481,1.42469,6.65853,5.24479,-2.29242,6.76316,铁芯卡涩
0.13364,0.62727,0.48364,1.29506,1.46481,1.41852,6.66062,5.24772,-2.29441,6.76896,铁芯卡涩
0.12636,0.62091,0.47727,1.2963,1.46728,1.42901,6.67262,5.2715,-2.29397,6.76587,铁芯卡涩
0.10545,0.55636,0.38455,1.28951,1.47037,1.42346,6.67916,5.28691,-2.28895,6.7485,铁芯卡涩
